"","genera","Order","Family","Subfamily","col_label"
"270","Macrelmis","Coleoptera","Elmidae","","Coleoptera"
"271","Setodes","Trichoptera","Leptoceridae","Leptocerinae","Trichoptera"
"272","Helius","Diptera","Tipulidae","Limoniinae","Diptera, Non-chironomid"
"273","Hydatophylax","Trichoptera","Limnephilidae","Limnephilinae","Trichoptera"
"274","Claassenia","Plecoptera","Perlidae","Perlinae","Plecoptera"
"275","Campeloma","Mesogastropoda","Viviparidae","","Mesogastropoda"
"276","Stenus","Coleoptera","Staphylinidae","Steninae","Coleoptera"
"277","Xylotopus","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"278","Agarodes","Trichoptera","Sericostomatidae","","Trichoptera"
"279","Djalmabatista","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"280","Molanna","Trichoptera","Molannidae","","Trichoptera"
"281","Phylocentropus","Trichoptera","Dipseudopsidae","","Trichoptera"
"282","Dixella","Diptera","Dixidae","","Diptera, Non-chironomid"
"283","Pacifastacus","Decapoda","Astacidae","","Decapoda"
"284","Haplotaxis","Haplotaxida","Haplotaxidae","","Haplotaxida"
"285","Moselia","Plecoptera","Leuctridae","Leuctrinae","Plecoptera"
"286","Limnophyes","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"287","Deuterophlebia","Diptera","Deuterophlebiidae","","Diptera, Non-chironomid"
"288","Sergentia","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"289","Psychoglypha","Trichoptera","Limnephilidae","Limnephilinae","Trichoptera"
"290","Boreoheptagyia","Diptera","Chironomidae","Diamesinae","Diptera, Chironomidae"
"291","Protanyderus","Diptera","Tanyderidae","","Diptera, Non-chironomid"
"292","Stenocolus","Coleoptera","Eulichadidae","","Coleoptera"
"293","Nimbocera","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"294","Marilia","Trichoptera","Odontoceridae","Odontocerinae","Trichoptera"
"295","Neoelmis","Coleoptera","Elmidae","","Coleoptera"
"296","Thraulodes","Ephemeroptera","Leptophlebiidae","","Ephemeroptera"
"297","Polyplectropus","Trichoptera","Polycentropodidae","Polycentropodinae","Trichoptera"
"298","Gyretes","Coleoptera","Gyrinidae","","Coleoptera"
"299","Atopsyche","Trichoptera","Hydrobiosidae","","Trichoptera"
"300","Ceratopogon","Diptera","Ceratopogonidae","Ceratopogoninae","Diptera, Non-chironomid"
"301","Pseudosuccinea","Basommatophora","Lymnaeidae","Lymnaeinae","Basommatophora"
"302","Macromia","Odonata","Macromiidae","","Odonata"
"303","Fittkauimyia","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"304","Eupera","Veneroida","Sphaeriidae","Euperinae","Veneroida"
"305","Zavreliella","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"306","Hydrovatus","Coleoptera","Dytiscidae","Hydroporinae","Coleoptera"
"307","Merragata","Hemiptera","Hebridae","Hebrinae","Hemiptera"
"308","Monopelopia","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"309","Beardius","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"310","Erythemis","Odonata","Libellulidae","","Odonata"
"311","Hydrocanthus","Coleoptera","Noteridae","","Coleoptera"
"312","Epitheca","Odonata","Corduliidae","","Odonata"
"313","Viviparus","Mesogastropoda","Viviparidae","","Mesogastropoda"
"314","Pachydiplax","Odonata","Libellulidae","","Odonata"
"315","Hebetoncylus","Basommatophora","Ancylidae","","Basommatophora"
"316","Sisyra","Neuroptera","Sisyridae","","Neuroptera"
"317","Neothremma","Trichoptera","Uenoidae","Uenoinae","Trichoptera"
"318","Stactobiella","Trichoptera","Hydroptilidae","Hydroptilinae","Trichoptera"
"319","Parapoynx","Lepidoptera","Crambidae","Acentropinae","Lepidoptera"
"320","Chauliodes","Megaloptera","Corydalidae","Chauliodinae","Megaloptera"
"321","Chaoborus","Diptera","Chaoboridae","","Diptera, Non-chironomid"
"322","Cultus","Plecoptera","Perlodidae","Perlodinae","Plecoptera"
"323","Hesperophylax","Trichoptera","Limnephilidae","Limnephilinae","Trichoptera"
"324","Agabus","Coleoptera","Dytiscidae","Colymbetinae","Coleoptera"
"325","Synendotendipes","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"326","Hydroporus","Coleoptera","Dytiscidae","Hydroporinae","Coleoptera"
"327","Perlinella","Plecoptera","Perlidae","Acroneuriinae","Plecoptera"
"328","Culicoides","Diptera","Ceratopogonidae","Ceratopogoninae","Diptera, Non-chironomid"
"329","Pseudorthocladius","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"330","Ranatra","Hemiptera","Nepidae","Ranatrinae","Hemiptera"
"331","Erpobdella","Arhynchobdellida","Erpobdellidae","","Arhynchobdellida"
"332","Clinotanypus","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"333","Dromogomphus","Odonata","Gomphidae","","Odonata"
"334","Gomphus","Odonata","Gomphidae","","Odonata"
"335","Stylurus","Odonata","Gomphidae","","Odonata"
"336","Culex","Diptera","Culicidae","","Diptera, Non-chironomid"
"337","Kiefferulus","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"338","Palaemonetes","Decapoda","Palaemonidae","","Decapoda"
"339","Oroperla","Plecoptera","Perlodidae","Perlodinae","Plecoptera"
"340","Erioptera","Diptera","Tipulidae","Limoniinae","Diptera, Non-chironomid"
"341","Lauterborniella","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"342","Symbiocladius","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"343","Bibiocephala","Diptera","Blephariceridae","","Diptera, Non-chironomid"
"344","Oplonaeschna","Odonata","Aeshnidae","","Odonata"
"345","Radotanypus","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"346","Coptotomus","Coleoptera","Dytiscidae","Colymbetinae","Coleoptera"
"347","Laccophilus","Coleoptera","Dytiscidae","Laccophilinae","Coleoptera"
"348","Anchytarsus","Coleoptera","Ptilodactylidae","","Coleoptera"
"349","Unniella","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"350","Juga","Mesogastropoda","Pleuroceridae","","Mesogastropoda"
"351","Zalutschia","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"352","Nasiaeschna","Odonata","Aeshnidae","","Odonata"
"353","Guttipelopia","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"354","Prostoia","Plecoptera","Nemouridae","Nemourinae","Plecoptera"
"355","Protoplasa","Diptera","Tanyderidae","","Diptera, Non-chironomid"
"356","Kogotus","Plecoptera","Perlodidae","Perlodinae","Plecoptera"
"357","Anabolia","Trichoptera","Limnephilidae","Limnephilinae","Trichoptera"
"358","Anacaena","Coleoptera","Hydrophilidae","","Coleoptera"
"359","Hesperocorixa","Hemiptera","Corixidae","Corixinae","Hemiptera"
"360","Helochares","Coleoptera","Hydrophilidae","","Coleoptera"
"361","Uvarus","Coleoptera","Dytiscidae","Hydroporinae","Coleoptera"
"362","Ephydra","Diptera","Ephydridae","","Diptera, Non-chironomid"
"363","Alloperla","Plecoptera","Chloroperlidae","Chloroperlinae","Plecoptera"
"364","Hybomitra","Diptera","Tabanidae","","Diptera, Non-chironomid"
"365","Lebertia","Trombidiformes","Lebertiidae","","Trombidiformes"
"366","Ithytrichia","Trichoptera","Hydroptilidae","Hydroptilinae","Trichoptera"
"367","Cambarus","Decapoda","Cambaridae","Cambarinae","Decapoda"
"368","Metrichia","Trichoptera","Hydroptilidae","Hydroptilinae","Trichoptera"
"369","Nemotelus","Diptera","Stratiomyidae","Nemotelinae","Diptera, Non-chironomid"
"370","Ironoquia","Trichoptera","Limnephilidae","Dicosmoecinae","Trichoptera"
"371","Matus","Coleoptera","Dytiscidae","Colymbetinae","Coleoptera"
"372","Apocorophium","Amphipoda","Corophiidae","","Amphipoda"
"373","Taphromysis","Mysida","Mysidae","","Mysida"
"374","Cyphomella","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"375","Americorophium","Amphipoda","Corophiidae","","Amphipoda"
"376","Alotanypus","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"377","Ramellogammarus","Amphipoda","Anisogammaridae","","Amphipoda"
"378","Brychius","Coleoptera","Haliplidae","","Coleoptera"
"379","Paralimnophyes","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"380","Slavina","Tubificida","Naididae","","Tubificida"
"381","Nais","Tubificida","Naididae","","Tubificida"
"382","Cernotina","Trichoptera","Polycentropodidae","Polycentropodinae","Trichoptera"
"383","Synurella","Amphipoda","Crangonyctidae","","Amphipoda"
"384","Lestes","Odonata","Lestidae","","Odonata"
"385","Gerris","Hemiptera","Gerridae","Gerrinae","Hemiptera"
"386","Somatochlora","Odonata","Corduliidae","","Odonata"
"387","Epoicocladius","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"388","Ptychoptera","Diptera","Ptychopteridae","","Diptera, Non-chironomid"
"389","Telopelopia","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"390","Brundiniella","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"391","Neoporus","Coleoptera","Dytiscidae","Hydroporinae","Coleoptera"
"392","Pagastiella","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"393","Wandesia","Trombidiformes","Hydryphantidae","","Trombidiformes"
"394","Pedomoecus","Trichoptera","Apataniidae","","Trichoptera"
"395","Eubrianax","Coleoptera","Psephenidae","","Coleoptera"
"396","Lanthus","Odonata","Gomphidae","","Odonata"
"397","Placobdella","Rhynchobdellida","Glossiphoniidae","","Rhynchobdellida"
"398","Quistadrilus","Tubificida","Tubificidae","","Tubificida"
"399","Diploperla","Plecoptera","Perlodidae","Perlodinae","Plecoptera"
"400","Lachlania","Ephemeroptera","Oligoneuriidae","","Ephemeroptera"
"401","Hebrus","Hemiptera","Hebridae","Hebrinae","Hemiptera"
"402","Cordulegaster","Odonata","Cordulegastridae","","Odonata"
"403","Metriocnemus","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"404","Onconeura","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"405","Conchapelopia","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"406","Cloeodes","Ephemeroptera","Baetidae","","Ephemeroptera"
"407","Copelatus","Coleoptera","Dytiscidae","Colymbetinae","Coleoptera"
"408","Stylaria","Tubificida","Naididae","","Tubificida"
"409","Graptocorixa","Hemiptera","Corixidae","Corixinae","Hemiptera"
"410","Aulodrilus","Tubificida","Tubificidae","","Tubificida"
"411","Lioporeus","Coleoptera","Dytiscidae","Hydroporinae","Coleoptera"
"412","Neurocordulia","Odonata","Corduliidae","","Odonata"
"413","Anisocentropus","Trichoptera","Calamoceratidae","","Trichoptera"
"414","Argulus","Arguloida","Argulidae","","Arguloida"
"415","Gonielmis","Coleoptera","Elmidae","","Coleoptera"
"416","Cymbiodyta","Coleoptera","Hydrophilidae","","Coleoptera"
"417","Heteroplectron","Trichoptera","Calamoceratidae","","Trichoptera"
"418","Apsectrotanypus","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"419","Psectrotanypus","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"420","Gymnochthebius","Coleoptera","Hydraenidae","","Coleoptera"
"421","Haploperla","Plecoptera","Chloroperlidae","Chloroperlinae","Plecoptera"
"422","Leptocerus","Trichoptera","Leptoceridae","Leptocerinae","Trichoptera"
"423","Limnephilus","Trichoptera","Limnephilidae","Limnephilinae","Trichoptera"
"424","Radix","Basommatophora","Lymnaeidae","Lymnaeinae","Basommatophora"
"425","Sympotthastia","Diptera","Chironomidae","Diamesinae","Diptera, Chironomidae"
"426","Stilocladius","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"427","Derotanypus","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"428","Glossiphonia","Rhynchobdellida","Glossiphoniidae","","Rhynchobdellida"
"429","Atractides","Trombidiformes","Hygrobatidae","","Trombidiformes"
"430","Limnodrilus","Tubificida","Tubificidae","","Tubificida"
"431","Protzia","Trombidiformes","Hydryphantidae","","Trombidiformes"
"432","Theromyzon","Rhynchobdellida","Glossiphoniidae","","Rhynchobdellida"
"433","Hygrobates","Trombidiformes","Hygrobatidae","","Trombidiformes"
"434","Ophidonais","Tubificida","Naididae","","Tubificida"
"435","Bethbilbeckia","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"436","Acneus","Coleoptera","Psephenidae","","Coleoptera"
"437","Paraperla","Plecoptera","Chloroperlidae","Paraperlinae","Plecoptera"
"438","Rhyacodrilus","Tubificida","Tubificidae","","Tubificida"
"439","Promenetus","Basommatophora","Planorbidae","","Basommatophora"
"440","Acricotopus","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"441","Arrenurus","Trombidiformes","Arrenuridae","","Trombidiformes"
"442","Chaetogaster","Tubificida","Naididae","","Tubificida"
"443","Limnesia","Trombidiformes","Limnesiidae","","Trombidiformes"
"444","Homoeoneuria","Ephemeroptera","Oligoneuriidae","","Ephemeroptera"
"445","Mideopsis","Trombidiformes","Mideopsidae","","Trombidiformes"
"446","Euryhapsis","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"447","Paracladius","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"448","Telmatodrilus","Tubificida","Tubificidae","","Tubificida"
"449","Archilestes","Odonata","Lestidae","","Odonata"
"450","Rhantus","Coleoptera","Dytiscidae","Colymbetinae","Coleoptera"
"451","Clathrosperchon","Trombidiformes","Hydryphantidae","","Trombidiformes"
"452","Vejdovskyella","Tubificida","Naididae","","Tubificida"
"453","Neumania","Trombidiformes","Unionicolidae","","Trombidiformes"
"454","Unionicola","Trombidiformes","Unionicolidae","","Trombidiformes"
"455","Kloosia","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"456","Bratislavia","Tubificida","Naididae","","Tubificida"
"457","Feltria","Trombidiformes","Feltriidae","","Trombidiformes"
"458","Tubifex","Tubificida","Tubificidae","","Tubificida"
"459","Spirosperma","Tubificida","Tubificidae","","Tubificida"
"460","Roederiodes","Diptera","Empididae","Clinocerinae","Diptera, Non-chironomid"
"461","Allognosta","Diptera","Stratiomyidae","Beridinae","Diptera, Non-chironomid"
"462","Aturus","Trombidiformes","Aturidae","","Trombidiformes"
"463","Stygobromus","Amphipoda","Crangonyctidae","","Amphipoda"
"464","Myzobdella","Rhynchobdellida","Piscicolidae","","Rhynchobdellida"
"465","Allomyia","Trichoptera","Apataniidae","","Trichoptera"
"466","Gumaga","Trichoptera","Sericostomatidae","","Trichoptera"
"467","Ectemnia","Diptera","Simuliidae","","Diptera, Non-chironomid"
"468","Ostrocerca","Plecoptera","Nemouridae","Nemourinae","Plecoptera"
"469","Monatractides","Trombidiformes","Torrenticolidae","","Trombidiformes"
"470","Heterotanytarsus","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"471","Triznaka","Plecoptera","Chloroperlidae","Chloroperlinae","Plecoptera"
"472","Reomyia","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"473","Siphlonurus","Ephemeroptera","Siphlonuridae","","Ephemeroptera"
"474","Culiseta","Diptera","Culicidae","","Diptera, Non-chironomid"
"475","Neohermes","Megaloptera","Corydalidae","Chauliodinae","Megaloptera"
"476","Mesobates","Trombidiformes","Hygrobatidae","","Trombidiformes"
"477","Soliperla","Plecoptera","Peltoperlidae","Peltoperlinae","Plecoptera"
"478","Oxus","Trombidiformes","Oxidae","","Trombidiformes"
"479","Octogomphus","Odonata","Gomphidae","","Odonata"
"480","Stygothrombium","Trombidiformes","Stygothrombidiidae","","Trombidiformes"
"481","Parthina","Trichoptera","Odontoceridae","Odontocerinae","Trichoptera"
"482","Melanoides","Mesogastropoda","Thiaridae","","Mesogastropoda"
"483","Acentrella.Acerpenna.Amercaenis.Americabaetis.Anafroptilum.Anthopotamus.Apobaetis.Attenella.Baetis.Baetisca.Barbaetis.Brachycercus.Caenis.Callibaetis.Campsurus.Caudatella.Centroptilum.Choroterpes.Cinygma.Cinygmula.Cloe.Cloeon.Dannella.Dentatella.Diphetor.Drunella.Ecdyonurus.Ecdyurus.Epeorus.Ephemera.Ephemerella.Ephoron.Eurycaenis.Eurylophella.Euthyplocia.Fallceon.Habrophlebia.Habrophlebiodes.Heptagenia.Heterocloeon.Hexagenia.Iron.Ironodes.Iswaeon.Labiobaetis.Leptophlebia.Leucrocuta.Litobrancha.Maccaffertium.Matriella.Neochoroterpes.Nixe.Palingenia.Paracloeodes.Paraleptophlebia.Penelomax.Plauditus.Potamanthus.Procloeon.Pseudocloeon.Raptoheptagenia.Rhithrogena.Serratella.Sparbarus.Stenacron.Stenonema.Susperatus.Teloganopsis.Timpanoga.Tsalia","Ephemeroptera","Baetidae","","Ephemeroptera"
"484","Cardiocladius.Eukiefferiella.Tvetenia","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"485","Ceratopsyche.Hydropsyche","Trichoptera","Hydropsychidae","Hydropsychinae","Trichoptera"
"486","Krenopsectra.Micropsectra.Tanytarsus","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"487","Neozavrelia.Rheotanytarsus.Sublettea","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"488","Allenhyphes.Asioplax.Homoleptohyphes.Leptohyphes.Tricorythodes.Vacupernius","Ephemeroptera","Leptohyphidae","","Ephemeroptera"
"489","Chironomus.Einfeldia.Glyptotendipes","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"490","Atherix.Suragina","Diptera","Athericidae","","Diptera, Non-chironomid"
"491","Cricotopus.Orthocladius","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"492","Elimia.Pleurocera","Mesogastropoda","Pleuroceridae","","Mesogastropoda"
"493","Corynoneura.Thienemanniella","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"494","Labrundinia.Nilotanypus","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"495","Leucotrichia.Zumatrichia","Trichoptera","Hydroptilidae","Hydroptilinae","Trichoptera"
"496","Menetus.Micromenetus","Basommatophora","Planorbidae","","Basommatophora"
"497","Stenochironomus.Xestochironomus","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"498","Phaenopsectra.Tribelos","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"499","Stempellinella.Zavrelia","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"500","Helodon.Prosimulium","Diptera","Simuliidae","","Diptera, Non-chironomid"
"501","Paramerina.Zavrelimyia","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"502","Atrichopogon.Forcipomyia","Diptera","Ceratopogonidae","Forcipomyiinae","Diptera, Non-chironomid"
"503","Bezzia.Palpomyia","Diptera","Ceratopogonidae","Ceratopogoninae","Diptera, Non-chironomid"
"504","Agnetina.Paragnetina","Plecoptera","Perlidae","Perlinae","Plecoptera"
"505","Armiger.Gyraulus","Basommatophora","Planorbidae","","Basommatophora"
"506","Chelifera.Metachela","Diptera","Empididae","Hemerodromiinae","Diptera, Non-chironomid"
"507","Clinocera.Trichoclinocera","Diptera","Empididae","Clinocerinae","Diptera, Non-chironomid"
"508","Pericoma.Telmatoscopus","Diptera","Psychodidae","Psychodinae","Diptera, Non-chironomid"
"509","Neostempellina.Stempellina","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"510","Culoptila.Protoptila","Trichoptera","Glossosomatidae","Protoptilinae","Trichoptera"
"511","Fossaria.Stagnicola","Basommatophora","Lymnaeidae","Lymnaeinae","Basommatophora"
"512","Coenagrion.Enallagma","Odonata","Coenagrionidae","","Odonata"
"513","Caloparyphus.Euparyphus","Diptera","Stratiomyidae","Stratiomyinae","Diptera, Non-chironomid"
"514","Chrysops.Silvius","Diptera","Tabanidae","","Diptera, Non-chironomid"
"515","Aeshna.Rhionaeschna","Odonata","Aeshnidae","","Odonata"
"516","Erpetogomphus.Ophiogomphus","Odonata","Gomphidae","","Odonata"
"517","Planorbella.Planorbula","Basommatophora","Planorbidae","","Basommatophora"
"518","Triaenodes.Ylodes","Trichoptera","Leptoceridae","Leptocerinae","Trichoptera"
"519","Libellula.Plathemis","Odonata","Libellulidae","","Odonata"
"520","Abedus.Belostoma","Hemiptera","Belostomatidae","Belostomatinae","Hemiptera"
"521","Bryophaenocladius.Gymnometriocnemus","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"522","Sperchon.Sperchonopsis","Trombidiformes","Sperchontidae","","Trombidiformes"
"523","Hedriodiscus.Odontomyia","Diptera","Stratiomyidae","Stratiomyinae","Diptera, Non-chironomid"
"524","Nebrioporus.Stictotarsus","Coleoptera","Dytiscidae","Hydroporinae","Coleoptera"
"525","Testudacarus.Torrenticola","Trombidiformes","Torrenticolidae","","Trombidiformes"
